Policy,Year,Population (B),GDP ($T),GDP After Damage ($T),GDP PC ($K),Emissions (Gt CO₂),CO₂ (ppm),Temp Increase (°C),Climate Damage (%),Pollution Damage (%),Consumption PC ($K),Pop Growth Rate (%)
Adaptation & Resilience,11,8.855599700181102,120.17295780945648,115.3952505497374,13.030766346335358,35.353463908870275,455.2880899666582,1.5851872593171732,0.42818429746609404,3.7121137104313786,9.121536442434751,0.9131146921892208
Adaptation & Resilience,12,8.936231704863616,123.20378429811761,118.26381439862004,13.234192924323349,35.621804981660475,458.2042507378797,1.6010319672664959,0.4367868925796521,3.74028952307435,9.263935047026344,0.9105199807175612
Adaptation & Resilience,13,9.017344169834782,126.31004687863907,121.2015554813657,13.44093706512994,35.89184461689609,461.1479416773306,1.6182445659321123,0.4462291169687653,3.768643684774089,9.408655945590958,0.907680862023974
Adaptation & Resilience,14,9.097995158901835,129.48562059604612,124.20268396725537,13.651654215899487,36.161362740708974,464.1192463345494,1.6368288489942042,0.4565371592253074,3.7969430877744417,9.556157951129642,0.8943984786213388
Adaptation & Resilience,15,9.17476939020782,132.7024525662476,127.24116440283748,13.868595382750577,36.42226179587538,467.11777839388895,1.656788299820439,0.46773904895989193,3.824337488566915,9.708016767925402,0.8438587838867528
Adaptation & Resilience,16,9.247774178530966,135.96165655514042,130.3179451976667,14.09181741269206,36.67486107728054,470.14144465133216,1.6781253209786977,0.4798642226318397,3.8508604131144564,9.864272188884442,0.7957125156852873
Adaptation & Resilience,17,9.3171238672977,139.26444342867865,133.43405569675716,14.321378313440606,36.91949021062,473.1882402915682,1.7008413007704013,0.4929435366212421,3.8765464721150993,10.024964819408423,0.7499068146336496
Adaptation & Resilience,18,9.382938389360522,142.61211678312094,136.59060158605445,14.55733757571476,37.156486441977556,476.25625018667085,1.7249366787352085,0.5070092753780873,3.901431076407643,10.190136303000331,0.7063823879579934
Adaptation & Resilience,19,9.445341924699724,146.00606865038986,139.78876037576723,14.799756482104405,37.38619215542896,479.3436496091656,1.7504110098208787,0.5220951550426861,3.92555017632004,10.359829537473082,0.6650745507394751
Adaptation & Resilience,20,9.504461662245165,149.4477753559148,143.0297770296495,15.04869840212104,37.608952624947094,482.4487044135167,1.7772630269581526,0.5382363229355144,3.9489400256194447,10.534088881484728,0.6259142127067019
